MSE,RMSE,MAE,MAPE,Time
2297769.035377,1515.839383,1109.898298,8.452688,7m32s
2297769.035377,1515.839383,1109.898298,8.452688,7m10s
2297769.035377,1515.839383,1109.898298,8.452688,7m17s
2297769.035377,1515.839383,1109.898298,8.452688,7m13s
2297769.035377,1515.839383,1109.898298,8.452688,7m13s
2297769.035377,1515.839383,1109.898298,8.452688,7m15s
2297769.035377,1515.839383,1109.898298,8.452688,7m21s
2297769.035377,1515.839383,1109.898298,8.452688,7m19s
2297769.035377,1515.839383,1109.898298,8.452688,7m20s
2297769.035377,1515.839383,1109.898298,8.452688,7m32s
