MSE,RMSE,MAE,MAPE,Time
2480943.373832,1575.101068,1145.906057,8.672819,46m38s
5096003.104722,2257.432857,1957.607413,13.793041,34m58s
7518596.522584,2742.00593,2246.256473,15.711647,123m0s
4200842.985849,2049.59581,1742.680256,12.295516,32m55s
4156902.002473,2038.848205,1730.992596,12.209437,21m26s
4121990.905207,2030.268678,1722.428095,12.146018,73m0s
4129834.600747,2032.199449,1724.385236,12.160082,71m6s
4105650.724332,2026.24054,1718.68298,12.118001,21m17s
2688187.932025,1639.569435,1300.987638,9.281157,87m51s
4159522.075432,2039.490641,1731.67339,12.214261,58m26s
